title,release_date,budget,revenue,vote_count,vote_average,runtime,id,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western
Inside Llewyn Davis,2013-10-13,11000000,32935319,2350,7.199,104,86829,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Anchorman 2: The Legend Continues,2013-12-18,50000000,173649015,2231,6.13,119,109443,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jobs,2013-08-16,12000000,35931410,2219,6.121,128,115782,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Only God Forgives,2013-05-30,4800000,10337387,2150,5.862,90,77987,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Safe Haven,2013-02-07,28000000,97594140,2122,7.242,115,112949,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Snitch,2013-02-21,35000000,42930462,2113,6.063,112,134411,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Horns,2013-09-06,0,0,2065,6.291,120,149509,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Movie 43,2013-01-01,6000000,32438988,2024,4.573,90,87818,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before Midnight,2013-04-05,3000000,11176469,1996,7.497,109,132344,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Stoker,2013-02-28,12000000,12077441,1984,6.654,99,86825,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Trance,2013-03-27,20000000,24261569,1955,6.62,101,68727,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
The Smurfs 2,2013-07-30,105000000,347434178,1925,5.793,105,77931,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Last Vegas,2013-10-31,28000000,134402450,1922,6.4,105,137093,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Only Lovers Left Alive,2013-12-12,7000000,7600000,1905,7.265,123,152603,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
What If,2013-09-07,11000000,7847000,1765,6.708,93,212716,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Stuck in Love,2013-06-14,0,81071,1740,7.4,97,111969,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oldboy,2013-11-14,30000000,5186767,1720,5.942,104,87516,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Out of the Furnace,2013-12-06,22000000,15400000,1703,6.57,116,164457,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Machete Kills,2013-09-12,12000000,15008161,1669,5.586,107,106747,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Counselor,2013-10-25,25000000,71009334,1642,5.26,117,109091,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Dark Skies,2013-02-21,3500000,25174316,1575,6.291,97,145135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
42,2013-04-12,40000000,95020213,1566,7.136,128,109410,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Haunted House,2013-01-11,2500000,60141683,1557,5.788,86,139038,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Justice League: The Flashpoint Paradox,2013-07-30,3500000,0,1551,7.907,75,183011,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nebraska,2013-09-21,12000000,27682872,1538,7.442,115,129670,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Way Way Back,2013-06-06,4600000,23198652,1523,7.125,103,147773,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Filth,2013-09-23,5000000,9114264,1491,6.867,97,85889,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hummingbird,2013-05-07,20000000,8352885,1477,6.176,100,136418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Planes,2013-08-09,50000000,219788712,1444,5.869,91,151960,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Philomena,2013-11-01,12000000,100129872,1436,7.374,98,205220,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
All Is Lost,2013-08-23,9000000,6108720,1418,6.612,106,152747,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sharknado,2013-07-11,1000000,0,1405,3.939,86,205321,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
